"Pesanan (Toko, Live)","Tanggal Pesanan","Kategori","Nama Produk","variasi","Harga","Jumlah","Total","Metode pembayaran(Cash,Tf,Qris)","No Telepon"
"Toko","2024-01-03","Peralatan Elektronik Dapur Kecil","[NEW] Toaster","Stainless","569000","3","1707000","Tf",""
"Live","2024-01-03","Peralatan Kebersihan Dapur","[SCD] Lap Dapur","Kayu","8000","2","16000","Tf","089617881368"
"Live","2024-01-03","Peralatan Pengaduk & Pencampur","[SCD] Centong","500ml","5500","5","27500","Qris","089974926076"
"Live","2024-01-04","Peralatan Pemanas","[SCD] Oven","250ml","161000","3","483000","Qris","082385890164"
"Live","2024-01-05","Peralatan Baking","[SCD] Kuas Kue","Plastik","34000","5","170000","Qris","085001711446"
"Toko","2024-01-06","Peralatan Kebersihan Dapur","[NEW] Sikat Panci","Putih","15000","5","75000","Tf",""
"Live","2024-01-06","Peralatan Elektronik Dapur Kecil","[NEW] Blender","Besar","492000","1","492000","Tf","089660331768"
"Live","2024-01-06","Peralatan Penyaring & Peniris","[NEW] Saringan Mie","1L","95000","4","380000","Tf","083338230022"
"Live","2024-01-06","Peralatan Elektronik Dapur Kecil","[NEW] Blender","2L","1307000","1","1307000","Tf","087090603191"
"Live","2024-01-07","Peralatan Pengukuran","[SCD] Sendok Takar","Hitam","22500","2","45000","Qris","085833376780"
"Live","2024-01-07","Peralatan Baking","[NEW] Cetakan Muffin","250ml","67000","5","335000","Tf","082125269139"
"Live","2024-01-07","Peralatan Kebersihan Dapur","[SCD] Lap Dapur","Silver","9000","3","27000","Qris","084873256352"
"Toko","2024-01-08","Peralatan Penyimpanan Makanan","[SCD] Rak Bumbu","Kecil","41500","2","83000","Qris",""
"Toko","2024-01-08","Peralatan Pemanas","[NEW] Oven","250ml","1498000","1","1498000","Qris",""
"Live","2024-01-09","Peralatan Memasak Utama","[PRV] Wajan","Biru","124500","2","249000","Qris","081032399691"
"Toko","2024-01-09","Peralatan Penyaring & Peniris","[NEW] Peniris Gorengan","500ml","57000","5","285000","Qris",""
"Toko","2024-01-09","Peralatan Penyaring & Peniris","[PRV] Peniris Gorengan","500ml","42500","4","170000","Tf",""
"Live","2024-01-09","Peralatan Persiapan Bahan","[PRV] Baskom","2L","11000","5","55000","Qris","082654206476"
"Toko","2024-01-10","Peralatan Penyimpanan Makanan","[SCD] Food Container","Plastik","9500","5","47500","Qris",""
"Toko","2024-01-10","Peralatan Persiapan Bahan","[NEW] Mangkuk Adonan","Kayu","45000","3","135000","Tf",""
"Toko","2024-01-10","Peralatan Elektronik Dapur Kecil","[SCD] Mixer","Stainless","154500","1","154500","Tf",""
"Live","2024-01-10","Peralatan Minum","[NEW] Teko Air","Putih","10000","5","50000","Tf","085321782590"
"Toko","2024-01-11","Peralatan Penyajian","[SCD] Mangkuk Saji","Kecil","23000","1","23000","Qris",""
"Live","2024-01-12","Peralatan Elektronik Dapur Kecil","[PRV] Rice Cooker","Putih","196000","1","196000","Qris","089597037010"
"Toko","2024-01-12","Peralatan Khusus / Unik","[NEW] Alat Pembuat Sushi","5L","80000","1","80000","Tf",""
"Toko","2024-01-13","Peralatan Penyajian","[PRV] Nampan","Plastik","40000","2","80000","Tf",""
"Toko","2024-01-13","Peralatan Elektronik Dapur Kecil","[NEW] Blender","Putih","1253000","5","6265000","Tf",""
"Live","2024-01-13","Peralatan Baking","[PRV] Cetakan Muffin","1L","185000","4","740000","Qris","084148976975"
"Live","2024-01-13","Peralatan Penyaring & Peniris","[SCD] Peniris Gorengan","Sedang","6500","3","19500","Qris","085210041337"
