"No. Pesanan","Status Pesanan","Alasan Pembatalan","Status Pembatalan/ Pengembalian","No. Resi","Opsi Pengiriman","Antar ke counter/ pick-up","Pesanan Harus Dikirimkan Sebelum (Menghindari keterlambatan)","Waktu Pengiriman Diatur","Waktu Pesanan Dibuat","Waktu Pembayaran Dilakukan","Metode Pembayaran","SKU Induk","Nama Produk","Nomor Referensi SKU","Nama Variasi","Harga Awal","Harga Setelah Diskon","Jumlah","Returned quantity","Total Harga Produk","Total Diskon","Diskon Dari Penjual","Diskon Dari Shopee","Berat Produk","Jumlah Produk di Pesan","Total Berat","Voucher Ditanggung Penjual","Cashback Koin","Voucher Ditanggung Shopee","Paket Diskon","Paket Diskon (Diskon dari Shopee)","Paket Diskon (Diskon dari Penjual)","Potongan Koin Shopee","Diskon Kartu Kredit","Ongkos Kirim Dibayar oleh Pembeli","Estimasi Potongan Biaya Pengiriman","Ongkos Kirim Pengembalian Barang","Total Pembayaran","Perkiraan Ongkos Kirim","Catatan dari Pembeli","Catatan","Username (Pembeli)","Nama Penerima","No. Telepon","Alamat Pengiriman","Kota/Kabupaten","Provinsi","Waktu Pesanan Selesai"
"240118R62GDSWM","Selesai","","","JP5869714996","Kargo","Antar ke counter","2024-01-20 07:13","2024-01-19 22:13","2024-01-18 05:42","2024-01-18 07:13","SPayLater","OUT-092","Outer Wanita Premium Murah","OUT-092-Dusty pink-All Size","Dusty pink, All Size","186000","156600","4","0","626400","117600","10000","0","360","4","1440","10000","0","0","0","0","0","3521","0","0","10000","0","612879","10000","","","user_takpux","Pembeli 8618","6287192423780","Jl. Mawar No. 87, RT 04/RW 09","Medan","Sumatera Utara","2024-01-20 22:13"
"241113Q2Y9V86W","Dibatalkan","Penjual tidak merespon","Dibatalkan oleh Pembeli","","Instant","Antar ke counter","2024-11-15 21:52","","2024-11-13 20:15","","Transfer Bank","SWE-028","Sweater Wanita Kekinian Terbaru","SWE-028-Coklat-M","Coklat, M","378000","355900","2","0","711800","44200","0","15000","334","2","668","0","0","15000","0","0","0","0","0","0","20000","0","696800","20000","","","user_xa11dp","Pembeli 3881","6282995226582","Jl. Mawar No. 72, RT 04/RW 02","Yogyakarta","DI Yogyakarta",""
"241006148P0TVH","Selesai","","","SICEPAT8587422675","Kargo","Antar ke counter","2024-10-08 10:02","2024-10-08 06:02","2024-10-06 08:07","2024-10-06 10:02","SPayLater","ROK-035","Rok Mini Wanita Slim Fit Murah","ROK-035-Maroon-S","Maroon, S","152000","106400","2","0","212800","91200","10000","0","164","2","328","10000","0","0","0","0","0","0","0","10000","0","0","212800","10000","","","user_otohp6","Pembeli 1320","6286928691380","Jl. Mawar No. 1, RT 06/RW 05","Bandung","Jawa Barat","2024-10-10 06:02"
"240326EYUHZ1GV","Selesai","","","SICEPAT0364141603","Hemat","Antar ke counter","2024-03-28 05:44","2024-03-27 20:44","2024-03-26 05:09","2024-03-26 05:44","COD","JAK-084","Jaket Wanita Polos Bahan Adem","JAK-084-Hitam-S","Hitam, S","105000","76100","2","0","152200","57800","0","15000","260","2","520","0","0","15000","0","0","0","0","0","15000","0","0","152200","15000","","","user_13jcat","Pembeli 6733","6282062073697","Jl. Mawar No. 3, RT 03/RW 04","Semarang","Jawa Tengah","2024-04-01 20:44"
"24101743D5IQVN","Selesai","","","SPX9103693706","Kargo","Pick-up","2024-10-19 12:42","2024-10-18 07:42","2024-10-17 11:10","2024-10-17 12:42","ShopeePay","ROK-013","Rok Midi Wanita Formal Terbaru","ROK-013-Dusty pink-All Size","Dusty pink, All Size","224000","149600","5","0","748000","372000","5000","0","221","5","1105","5000","0","0","0","0","0","0","0","30000","0","0","773000","30000","","","user_pn6qfg","Pembeli 9548","6287371573279","Jl. Mawar No. 56, RT 05/RW 06","Bekasi","Jawa Barat","2024-10-20 07:42"
"240112ET1GHR09","Selesai","","","SPX4322585512","Reguler","Antar ke counter","2024-01-14 04:34","2024-01-13 12:34","2024-01-12 03:30","2024-01-12 04:34","SPayLater","SET-062","Setelan Wanita Korean Style Terbaru","SET-062-Lilac-M","Lilac, M","329000","233000","4","0","932000","384000","0","0","272","4","1088","0","0","0","0","0","0","3719","0","15000","0","0","943281","15000","","","user_tm9tmq","Pembeli 6023","6282079770569","Jl. Mawar No. 16, RT 04/RW 06","Makassar","Sulawesi Selatan","2024-01-17 12:34"
"240722N6KVPUC8","Selesai","","","JP8233710029","Hemat","Antar ke counter","2024-07-24 19:15","2024-07-24 01:15","2024-07-22 17:58","2024-07-22 19:15","SPayLater","ROK-013","Rok Midi Wanita Formal Terbaru","ROK-013-Hitam-All Size","Hitam, All Size","224000","190500","4","0","762000","134000","10000","0","221","4","884","10000","0","0","0","0","0","0","0","0","15000","0","752000","15000","","","user_cwbfuk","Pembeli 5066","6288578226896","Jl. Mawar No. 78, RT 04/RW 09","Semarang","Jawa Tengah","2024-07-28 01:15"
"240208SRCBPLJD","Diproses","","","SPX2025146402","Same Day","Antar ke counter","2024-02-10 14:33","2024-02-09 15:33","2024-02-08 12:55","2024-02-08 14:33","ShopeePay","CAR-036","Cardigan Wanita Polos Terbaru","CAR-036-Maroon-S","Maroon, S","73000","51800","3","0","155400","63600","0","0","337","3","1011","0","0","0","0","0","0","0","0","20000","0","0","175400","20000","","","user_c2v37p","Pembeli 8679","6288252816758","Jl. Mawar No. 90, RT 07/RW 05","Surabaya","Jawa Timur",""
"240918SWRPBJEK","Selesai","","","JP9620746915","Hemat","Pick-up","2024-09-20 22:42","2024-09-20 22:42","2024-09-18 20:54","2024-09-18 22:42","SPayLater","JAK-011","Jaket Wanita Polos Import","JAK-011-Maroon-L","Maroon, L","390000","314800","3","0","944400","225600","5000","15000","167","3","501","5000","0","15000","0","0","0","4332","0","0","20000","0","920068","20000","","","user_dje153","Pembeli 1018","6287625389037","Jl. Mawar No. 53, RT 01/RW 04","Jakarta","DKI Jakarta","2024-09-24 22:42"
"2412085QRL1N75","Selesai","","","JP0677304281","Kargo","Pick-up","2024-12-10 03:35","2024-12-09 22:35","2024-12-08 02:05","2024-12-08 03:35","Transfer Bank","KAO-082","Kaos Wanita Kekinian Elegan","KAO-082-Beige-XL","Beige, XL","317000","197700","3","0","593100","357900","0","15000","152","3","456","0","0","15000","0","0","0","0","0","0","20000","0","578100","20000","","","user_7s55j2","Pembeli 7798","6285305985001","Jl. Mawar No. 93, RT 05/RW 08","Semarang","Jawa Tengah","2024-12-10 22:35"
